Player,Index,TotalWins
Tsitsipas S.,1,329
Djokovic N.,2,323
Khachanov K.,3,223
Rublev A.,4,293
Shelton B.,5,29
De Minaur A.,6,200
Bautista-Agut R.,7,222
Lehecka J.,8,53
Nishioka Y.,9,124
Hurkacz H.,10,183
Dimitrov G.,11,212
Murray A.,12,95
Popyrin A.,13,109
Wolf J.J.,14,60
Paul T.,15,148
Bonzi B.,16,41
Humbert U.,17,122
Korda S.,18,83
Norrie C.,19,218
Cerundolo F.,20,80
McDonald M.,21,106
Fucsovics M.,22,160
Couacaud E.,23,8
Mannarino A.,24,184
Carreno-Busta P.,25,194
Holt B.,26,9
Cressy M.,27,48
Mmoh M.,28,39
Fritz T.,29,222
Kudla D.,30,75
Schwartzman D.,31,218
Brooksby J.,32,48
Davidovich Fokina A.,33,104
Chardy J.,34,99
Eubanks C.,35,64
Griekspoor T.,36,71
Daniel T.,37,98
Kokkinakis T.,38,73
Svrcina D.,39,3
Millman J.,40,98
Sousa J.,41,130
Vukic A.,42,36
Isner J.,43,167
Harris L.,44,98
Shang J.,45,17
Nadal R.,46,259
Molcan A.,47,47
Gasquet R.,48,146
Purcell M.,49,32
Etcheverry T. M.,50,48
Carballes Baena R.,51,92
Machac T.,52,36
Tseng C. H.,53,12
Hsu Y. H.,54,9
O'Connell C.,55,55
Struff J-L.,56,164
Varillas J. P.,57,50
Berrettini M.,58,157
Krajinovic F.,59,108
Jarry N.,60,105
Bellucci M.,61,1
Bergs Z.,62,18
Bagnis F.,63,65
Galan D. E.,64,64
Giron M.,65,104
Musetti L.,66,96
Monteiro T.,67,98
Pospisil V.,68,87
Hanfmann Y.,69,91
Coria F.,70,54
Munar J.,71,90
Baez S.,72,72
Sonego L.,73,138
Escobedo E.,74,51
Altmaier D.,75,51
Nakashima B.,76,69
Lajovic D.,77,152
Ymer M.,78,87
Edmund K.,79,95
Ivashka I.,80,121
Moutet C.,81,76
Otte O.,82,45
Watanuki Y.,83,37
Nava E.,84,9
Stricker D.,85,25
Gojowczyk P.,86,97
Kotov P.,87,45
Ofner S.,88,40
Riedi L.,89,4
Andreev A.,90,0
Muller A.,91,21
Auger-Aliassime F.,92,178
Sinner J.,93,190
Monfils G.,94,149
Shapovalov D.,95,173
Cilic M.,96,176
Kecmanovic M.,97,127
Zverev A.,98,334
Andujar P.,99,50
Evans D.,100,131
Van De Zandschulp B.,101,79
Paire B.,102,133
Opelka R.,103,90
Alcaraz C.,104,157
Johnson S.,105,108
Kyrgios N.,106,131
Majchrzak K.,107,53
Tiafoe F.,108,188
Gombos N.,109,54
Albot R.,110,107
Martinez P.,111,65
Kozlov S.,112,25
Kwon S.,113,71
Broady L.,114,41
Seppi A.,115,95
Marterer M.,116,61
Dzumhur D.,117,124
Safiullin R.,118,50
Ruusuvuori E.,119,111
Basilashvili N.,120,144
Laaksonen H.,121,61
Gomez E.,122,27
Kohlschreiber P.,123,96
Skatov T.,124,11
Kukushkin M.,125,98
Lopez F.,126,87
Querrey S.,127,105
Caruso S.,128,41
Milojevic N.,129,13
Koepfer D.,130,68
Bublik A.,131,140
Duckworth J.,132,48
Delbonis F.,133,106
Djere L.,134,127
Rune H.,135,108
Fabbiano T.,136,51
De Jong J.,137,6
Trungelliti M.,138,26
Horansky F.,139,17
Popko D.,140,8
Tabilo A.,141,45
Elias G.,142,17
Medvedev D.,143,339
Fognini F.,144,168
Thiem D.,145,222
Ruud C.,146,219
Karatsev A.,147,76
Cuevas P.,148,89
Vesely J.,149,85
Wawrinka S.,150,127
Gerasimov E.,151,79
Anderson K.,152,124
Sandgren T.,153,63
Tu L.,154,7
Berankis R.,155,80
Goffin D.,156,195
Pella G.,157,103
Ferreira Silva F.,158,8
Sugita Y.,159,51
Stebe C.,160,32
Ymer E.,161,68
Stakhovsky S.,162,45
Nishikori K.,163,132
Coppejans K.,164,8
Uchiyama Y.,165,21
Bedene A.,166,97
Mager G.,167,36
Ramos A.,168,151
Bolt A.,169,37
Barrere G.,170,65
Tomic B.,171,43
Haase R.,172,75
Dellien H.,173,60
Rinderknech A.,174,69
Lestienne C.,175,23
Torpegaard M.,176,3
Sweeny D.,177,5
Wu Tung-Lin,178,15
Federer R.,179,180
Raonic M.,180,118
Verdasco F.,181,102
Thompson J.,182,108
Polmans M.,183,20
Garin C.,184,122
Ito T.,185,11
Karlovic I.,186,48
Cecchinato M.,187,96
Gaston H.,188,38
Herbert P.,189,104
Kovalik J.,190,50
Halys Q.,191,45
Gulbis E.,192,48
Vilella M. M.,193,6
Mayer L.,194,57
Giustino L.,195,7
Londero J. I.,196,50
Safwat M.,197,22
Coric B.,198,157
Berdych T.,199,59
Pouille L.,200,94
Harrison R.,201,50
Donskoy E.,202,46
Chung H.,203,69
Ebden M.,204,56
Travaglia S.,205,50
Tsonga J-W.,206,81
Granollers M.,207,35
Fratangelo B.,208,45
Vanni L.,209,6
Istomin D.,210,56
Basic M.,211,34
Troicki V.,212,53
Molleker R.,213,10
Kubler J.,214,30
Garcia-Lopez G.,215,46
King D.,216,28
Zhang Z.,217,44
Moraing M.,218,5
Lorenzi P.,219,42
Smyczek T.,220,36
Gunneswaran P.,221,29
Moriya H.,222,4
Polansky P.,223,17
Benneteau J.,224,34
Kicker N.,225,31
Dolgopolov A.,226,40
Baghdatis M.,227,41
Jaziri M.,228,55
Zverev M.,229,59
Zeballos H.,230,32
Donaldson J.,231,43
Lacko L.,232,42
Safranek V.,233,3
King K.,234,8
Brown D.,235,20
Bemelmans R.,236,34
Melzer G.,237,14
Simon G.,238,103
Ferrer D.,239,43
Sela D.,240,21
Bourgue M.,241,9
Bachinger M.,242,24
Bhambri Y.,243,27
Collarini A.,244,5
Mousley B.,245,0
Novak D.,246,46
Smith J. P.,247,16
Darcis S.,248,32
Stepanek R.,249,6
Muller G.,250,42
Berlocq C.,251,26
Young D.,252,34
Rubin N.,253,23
Haas T.,254,6
Jasika O.,255,1
Tursunov D.,256,1
Mott B.,257,1
Pavlasek A.,258,3
Youzhny M.,259,32
Mayer F.,260,15
Melzer J.,261,5
Mathieu P.,262,3
Janowicz J.,263,11
Almagro N.,264,12
Estrella V.,265,13
Kuznetsov An.,266,22
Lee D. H.,267,4
Satral J.,268,0
Ghem A.,269,1
Wu D.,270,2
Olivieri G. A.,271,3
Tirante T. A.,272,4
Zeppieri G.,273,13
van Assche L.,274,18
Arnaldi M.,275,28
Seyboth Wild T.,276,26
Mpetshi Perricard G.,277,6
Vavassori A.,278,17
Fils A.,279,35
Medjedovic H.,280,14
Draper J.,281,42
Zapata Miralles B.,282,57
Shevchenko A.,283,29
Cazaux A.,284,10
Kypson P.,285,1
Kolar Z.,286,6
Cachin P.,287,26
Gojo B.,288,32
Balazs A.,289,19
Giannessi A.,290,24
Rodriguez Taverna S.,291,0
Ugo Carabelli C.,292,9
Borges N.,293,23
Martin A.,294,21
Sock J.,295,71
Mayot H.,296,7
Diez S.,297,16
Benchetrit E.,298,8
Rodionov J.,299,26
Hoang A.,300,19
Mahut N.,301,43
Klizan M.,302,67
Maden Y.,303,31
Bolelli S.,304,25
Janvier M.,305,7
Andreozzi G.,306,27
Vatutin A.,307,18
Tipsarevic J.,308,13
Zopp J.,309,19
Silva D. R.,310,31
Olivo R.,311,31
Kravchuk K.,312,2
Robredo T.,313,11
Napolitano S.,314,10
Lokoli L.,315,3
Hamou M.,316,0
Gabashvili T.,317,3
Giraldo S.,318,19
Lu Y.H.,319,10
Bellucci T.,320,21
Robert S.,321,6
Copil M.,322,58
Hijikata R.,323,20
Mensik J.,324,5
Meligeni Alves F.,325,14
Wu Y.,326,21
Droguet T.,327,4
Cerundolo J. M.,328,27
Huesler M.,329,48
Moreno De Alboran N.,330,4
Diaz Acosta F.,331,6
Shimabukuro S.,332,7
Svajda Z.,333,9
Tien L.,334,0
De Loore J.,335,3
Brouwer G.,336,19
van Rijthoven T.,337,14
Grenier H.,338,14
Ritschard A.,339,7
Kovacevic A.,340,7
Khan Z.,341,1
Ilkel C.,342,9
Zuk K.,343,6
Rola B.,344,7
Nagal S.,345,25
Blanch U.,346,2
Gaio F.,347,18
Kwiatkowski T. S.,348,8
Krueger M.,349,36
Jung J.,350,26
Klahn B.,351,30
Schnur B.,352,16
Rosol L.,353,31
Menezes J.,354,3
Kamke T.,355,6
Del Potro J.,356,93
Altamirano C.,357,1
Hemery C.,358,13
Aragone J.,359,7
Menendez-Maceiras A.,360,27
Millot V.,361,17
Kavcic B.,362,6
Haider-Maurer A.,363,0
King E.,364,6
Dancevic F.,365,5
